Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Hawaii,"Healthcare setting, dead on arrival",0,38,0,0,0,0,
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Hawaii,Decedent's home,10,434,12,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Hawaii,Hospice facility,0,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Hawaii,Nursing home/long term care facility,25,101,,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Hawaii,Other,,104,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Hawaii,Total - All Places of Death,71,1024,81,35,,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Hawaii,"Healthcare setting, inpatient",52,269,54,33,,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Hawaii,"Healthcare setting, outpatient or emergency room",,75,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Hawaii,"Healthcare setting, dead on arrival",0,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Hawaii,Decedent's home,,408,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Hawaii,Hospice facility,0,42,0,0,0,0,
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Hawaii,Nursing home/long term care facility,11,85,,0,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Hawaii,Other,,105,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Hawaii,Total - All Places of Death,31,979,66,17,0,80,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Hawaii,"Healthcare setting, inpatient",24,251,43,15,0,52,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Hawaii,"Healthcare setting, outpatient or emergency room",,80,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Hawaii,"Healthcare setting, dead on arrival",0,37,0,0,0,0,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Hawaii,Decedent's home,,368,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Hawaii,Hospice facility,0,59,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Hawaii,Nursing home/long term care facility,,90,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Hawaii,Other,,94,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Hawaii,Total - All Places of Death,35,1005,72,22,0,85,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Hawaii,"Healthcare setting, inpatient",27,290,55,21,0,61,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Hawaii,"Healthcare setting, outpatient or emergency room",,73,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Hawaii,"Healthcare setting, dead on arrival",0,41,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Hawaii,Decedent's home,,369,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Hawaii,Hospice facility,0,61,0,0,0,0,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Hawaii,Nursing home/long term care facility,0,61,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Hawaii,Other,,110,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Hawaii,Total - All Places of Death,48,992,88,26,0,110,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Hawaii,"Healthcare setting, inpatient",42,301,68,25,0,85,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Hawaii,"Healthcare setting, outpatient or emergency room",,74,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Hawaii,"Healthcare setting, dead on arrival",0,32,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Hawaii,Decedent's home,,372,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Hawaii,Hospice facility,0,46,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Hawaii,Nursing home/long term care facility,0,54,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Hawaii,Other,,113,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Hawaii,Total - All Places of Death,28,1006,64,17,0,75,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Hawaii,"Healthcare setting, inpatient",21,268,46,16,0,51,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Hawaii,"Healthcare setting, outpatient or emergency room",,69,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Hawaii,"Healthcare setting, dead on arrival",0,45,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Hawaii,Decedent's home,,375,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Hawaii,Hospice facility,,55,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Hawaii,Nursing home/long term care facility,0,69,0,0,0,0,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Hawaii,Other,0,125,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Hawaii,Total - All Places of Death,18,1080,63,,0,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Hawaii,"Healthcare setting, inpatient",16,268,44,,0,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Hawaii,"Healthcare setting, outpatient or emergency room",0,83,0,0,0,0,
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Hawaii,"Healthcare setting, dead on arrival",0,48,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Hawaii,Decedent's home,,429,12,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Hawaii,Hospice facility,0,50,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Hawaii,Nursing home/long term care facility,,86,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Hawaii,Other,0,116,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Hawaii,Total - All Places of Death,14,1021,70,,0,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Hawaii,"Healthcare setting, inpatient",11,257,38,,0,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Hawaii,"Healthcare setting, outpatient or emergency room",0,78,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Hawaii,"Healthcare setting, dead on arrival",0,35,0,0,0,0,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Hawaii,Decedent's home,,369,11,0,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Hawaii,Hospice facility,0,51,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Hawaii,Nursing home/long term care facility,0,90,10,0,0,10,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Hawaii,Other,,141,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Hawaii,Total - All Places of Death,22,1024,70,15,0,77,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Hawaii,"Healthcare setting, inpatient",18,285,48,15,0,51,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Hawaii,"Healthcare setting, outpatient or emergency room",,66,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Hawaii,"Healthcare setting, dead on arrival",0,35,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Hawaii,Decedent's home,,392,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Hawaii,Hospice facility,0,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Hawaii,Nursing home/long term care facility,0,85,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Hawaii,Other,,114,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Hawaii,Total - All Places of Death,13,961,44,,0,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Hawaii,"Healthcare setting, inpatient",,261,28,,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Hawaii,"Healthcare setting, outpatient or emergency room",,80,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Hawaii,"Healthcare setting, dead on arrival",0,38,0,0,0,0,
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Hawaii,Decedent's home,,358,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Hawaii,Hospice facility,0,48,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Hawaii,Nursing home/long term care facility,0,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Hawaii,Other,,105,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Hawaii,Total - All Places of Death,25,1010,68,19,0,74,
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Hawaii,"Healthcare setting, inpatient",19,285,44,17,0,46,
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Hawaii,"Healthcare setting, outpatient or emergency room",,81,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Hawaii,"Healthcare setting, dead on arrival",0,33,0,0,0,0,
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Hawaii,Decedent's home,,391,11,0,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Hawaii,Hospice facility,0,38,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Hawaii,Nursing home/long term care facility,0,77,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Hawaii,Other,0,105,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Hawaii,Total - All Places of Death,152,1238,129,81,,200,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Hawaii,"Healthcare setting, inpatient",100,376,91,68,,123,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Hawaii,"Healthcare setting, outpatient or emergency room",18,98,13,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Hawaii,"Healthcare setting, dead on arrival",,57,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Hawaii,Decedent's home,25,416,15,,0,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Hawaii,Hospice facility,0,39,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Hawaii,Nursing home/long term care facility,,97,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Hawaii,Other,,155,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Hawaii,Total - All Places of Death,248,1271,225,159,0,314,
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Hawaii,"Healthcare setting, inpatient",192,466,182,144,0,230,
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Hawaii,"Healthcare setting, outpatient or emergency room",20,98,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Hawaii,"Healthcare setting, dead on arrival",,49,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Hawaii,Decedent's home,25,409,15,,0,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Hawaii,Hospice facility,,35,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Hawaii,Nursing home/long term care facility,,94,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Hawaii,Other,,120,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Hawaii,Total - All Places of Death,89,1144,108,55,0,142,
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Hawaii,"Healthcare setting, inpatient",67,335,91,49,0,109,
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Hawaii,"Healthcare setting, outpatient or emergency room",,81,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Hawaii,"Healthcare setting, dead on arrival",,60,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Hawaii,Decedent's home,10,429,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Hawaii,Hospice facility,,39,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Hawaii,Nursing home/long term care facility,,86,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Hawaii,Other,,114,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Hawaii,Total - All Places of Death,44,1041,81,25,0,100,
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Hawaii,"Healthcare setting, inpatient",32,306,60,22,0,70,
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Hawaii,"Healthcare setting, outpatient or emergency room",,74,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Hawaii,"Healthcare setting, dead on arrival",,43,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Hawaii,Decedent's home,,401,11,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Hawaii,Hospice facility,0,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Hawaii,Nursing home/long term care facility,0,83,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Hawaii,Other,,90,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,12/01/2021,12/31/2021,By Month,2021,12,Hawaii,Total - All Places of Death,33,1082,82,18,0,97,
04/27/2022,12/01/2021,12/31/2021,By Month,2021,12,Hawaii,"Healthcare setting, inpatient",24,291,58,17,0,65,
04/27/2022,12/01/2021,12/31/2021,By Month,2021,12,Hawaii,"Healthcare setting, outpatient or emergency room",,80,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2021,12/31/2021,By Month,2021,12,Hawaii,"Healthcare setting, dead on arrival",,49,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2021,12/31/2021,By Month,2021,12,Hawaii,Decedent's home,,401,12,0,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2021,12/31/2021,By Month,2021,12,Hawaii,Hospice facility,0,42,0,0,0,0,
04/27/2022,12/01/2021,12/31/2021,By Month,2021,12,Hawaii,Nursing home/long term care facility,0,91,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2021,12/31/2021,By Month,2021,12,Hawaii,Other,,128,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2021,12/31/2021,By Month,2021,12,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2022,01/31/2022,By Month,2022,1,Hawaii,Total - All Places of Death,152,1316,147,76,0,223,
04/27/2022,01/01/2022,01/31/2022,By Month,2022,1,Hawaii,"Healthcare setting, inpatient",88,380,101,61,0,128,
04/27/2022,01/01/2022,01/31/2022,By Month,2022,1,Hawaii,"Healthcare setting, outpatient or emergency room",15,86,,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2022,01/31/2022,By Month,2022,1,Hawaii,"Healthcare setting, dead on arrival",,66,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2022,01/31/2022,By Month,2022,1,Hawaii,Decedent's home,29,493,20,10,0,39,
04/27/2022,01/01/2022,01/31/2022,By Month,2022,1,Hawaii,Hospice facility,,36,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2022,01/31/2022,By Month,2022,1,Hawaii,Nursing home/long term care facility,,109,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2022,01/31/2022,By Month,2022,1,Hawaii,Other,,146,10,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2022,01/31/2022,By Month,2022,1,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,02/01/2022,02/28/2022,By Month,2022,2,Hawaii,Total - All Places of Death,100,1111,99,45,0,154,
04/27/2022,02/01/2022,02/28/2022,By Month,2022,2,Hawaii,"Healthcare setting, inpatient",70,333,75,39,0,106,
04/27/2022,02/01/2022,02/28/2022,By Month,2022,2,Hawaii,"Healthcare setting, outpatient or emergency room",,77,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2022,02/28/2022,By Month,2022,2,Hawaii,"Healthcare setting, dead on arrival",,49,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2022,02/28/2022,By Month,2022,2,Hawaii,Decedent's home,13,414,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2022,02/28/2022,By Month,2022,2,Hawaii,Hospice facility,,40,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2022,02/28/2022,By Month,2022,2,Hawaii,Nursing home/long term care facility,,81,,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2022,02/28/2022,By Month,2022,2,Hawaii,Other,,117,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2022,02/28/2022,By Month,2022,2,Hawaii,Place of death unknown,0,0,0,0,0,0,
04/27/2022,03/01/2022,03/31/2022,By Month,2022,3,Hawaii,Total - All Places of Death,19,894,52,,0,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2022,03/31/2022,By Month,2022,3,Hawaii,"Healthcare setting, inpatient",,244,30,,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2022,03/31/2022,By Month,2022,3,Hawaii,"Healthcare setting, outpatient or emergency room",,70,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2022,03/31/2022,By Month,2022,3,Hawaii,"Healthcare setting, dead on arrival",0,33,0,0,0,0,
04/27/2022,03/01/2022,03/31/2022,By Month,2022,3,Hawaii,Decedent's home,,325,11,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2022,03/31/2022,By Month,2022,3,Hawaii,Hospice facility,0,39,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
